GeneID	Mock.1	Mock.2	Mock.3	RSV.1	RSV.2	RSV.3	Mock.4	P1	P2	P3	P4
USP12-AS1	5	8	11	13	9	3	12	0	0	0	0
USP12-AS2	2	1	5	1	0	0	7	0	0	1	0
USP13	1377	1601	482	1330	604	409	498	416	76	295	103
USP14	1401	1578	695	1861	1303	678	742	3910	3147	3290	1618
USP15	972	937	612	1920	1354	736	798	1396	1119	1240	671
USP16	1302	1188	774	1333	846	508	820	1652	1509	1268	594
USP17L10	0	0	0	0	0	0	0	0	0	0	0
USP17L11	0	0	0	0	0	0	0	0	0	0	0
USP17L12	0	0	0	0	0	0	0	0	0	0	0
USP17L13	0	0	0	0	0	0	0	0	0	0	0
USP17L15	0	0	0	0	0	0	0	0	0	0	0
USP17L17	0	0	0	0	0	0	0	0	0	0	0
USP17L18	0	0	0	0	0	0	0	0	0	0	0
USP17L19	0	0	0	0	0	0	0	0	0	0	0
USP17L1P	0	4	4	6	2	1	3	0	0	2	0
USP17L2	3	1	5	3	1	0	5	0	0	0	0
USP17L20	0	0	0	0	0	0	0	0	0	0	0
USP17L21	0	0	0	0	0	0	0	0	0	0	0
USP17L22	0	0	0	0	0	0	0	0	0	0	0
USP17L24	0	0	0	0	0	0	0	0	0	0	0
USP17L25	0	0	0	0	0	0	0	0	0	0	0
USP17L26	0	0	0	0	0	0	0	0	0	0	0
USP17L27	0	0	0	0	0	0	0	0	0	0	0
USP17L28	0	0	0	0	0	0	0	0	0	0	0
USP17L29	0	0	0	0	0	0	0	0	0	0	0
USP17L3	0	1	0	0	0	0	0	0	0	0	0
USP17L30	0	0	0	0	0	0	0	0	0	0	0
USP17L4	4	2	1	4	2	1	1	0	0	0	0
USP17L5	0	0	0	0	0	0	0	0	0	0	0
USP17L6P	0	0	1	0	0	0	1	0	0	0	0
USP17L7	3	0	2	3	2	1	6	0	0	0	0
USP17L8	0	0	0	0	0	0	0	0	0	0	0
USP17L9P	0	0	0	0	0	0	0	0	0	0	0
USP18	306	346	199	2097	835	613	254	276	31	136	64
USP19	2607	2625	1755	3116	1830	1064	1520	2114	2015	1820	880
USP2	1531	1279	1307	854	431	209	1159	62	129	166	63
USP2-AS1	137	120	128	59	24	16	122	6	3	11	2
USP20	613	660	510	1105	605	402	466	515	471	590	259
USP21	766	793	660	924	487	364	703	633	517	780	302
USP22	6275	6626	4126	10119	6503	3711	3235	8856	7509	8570	3568
USP24	3497	3454	2224	5646	3931	1833	2421	2698	3101	2227	1196
USP25	1558	1622	969	2969	2096	1039	1095	1417	5184	1234	720
USP26	0	0	0	0	0	0	0	0	0	0	0
USP27X	69	72	49	94	58	35	34	117	119	114	80
USP27X-AS1	18	20	11	32	16	14	19	22	24	32	10
USP28	1420	1392	1241	2347	1555	760	1327	803	603	638	362
USP29	0	0	0	0	0	0	0	1	0	0	0
USP3	983	1036	670	1483	1066	529	856	934	2075	646	511
USP3-AS1	28	67	38	39	42	23	65	7	3	1	1
USP30	377	470	283	557	317	207	310	219	173	278	128
USP30-AS1	7	8	11	40	33	25	17	0	0	0	0
USP31	1806	1812	1204	2570	1687	919	1203	1482	2183	1763	741
USP32	1506	1475	928	2025	1303	626	841	1500	2861	1663	1043
USP32P1	201	246	161	358	224	100	284	44	55	124	48
USP32P2	5	5	3	6	1	3	4	1	4	2	2
USP33	1885	2060	1198	2617	1619	879	1270	1078	1054	970	495
USP34	7424	7432	5156	10786	7606	3616	6045	2844	4089	2435	1297
USP35	326	362	210	600	362	187	288	326	184	426	270
USP36	576	671	456	1102	622	379	447	1856	3266	1462	768
USP37	987	931	680	1520	1063	549	660	540	401	516	156
USP38	1027	1174	607	1813	1288	656	511	1085	1400	840	408
USP39	791	679	421	1213	864	367	403	2399	937	2147	841
USP4	1540	1577	1049	3089	1967	967	1213	1786	1455	1810	872
USP40	1732	1904	1304	2488	1404	868	1370	1906	1257	1553	777
USP42	844	831	631	1242	794	436	525	603	801	637	327
USP43	1294	1427	1004	1374	702	410	1365	479	811	334	167
USP44	10	14	5	34	10	12	6	13	14	6	2
USP45	571	648	415	728	483	270	590	379	277	342	153
USP46	1557	1528	1053	2136	1427	755	1022	1034	2357	1050	494
USP47	2019	1814	1274	3239	2117	1132	1327	1679	1916	1846	966
USP48	1254	1113	850	1719	1100	650	1029	1955	1235	1874	885
USP49	454	530	395	686	421	260	481	160	150	250	79
USP5	1311	1306	753	1776	1070	638	572	4652	1142	4517	1953
USP50	3	0	2	12	4	0	2	1	0	0	0
