NAME	Basal	Club	Goblet	Hillock	Multiciliated_Deuterosomal	Suprabasal
ENSG00000151693	44.9246916300487	32.7051989325456	1	1	1	60.4540511390973
ENSG00000138303	1	31.5991690414172	1	1	1	1
ENSG00000166183	1	1	1	66.9148710365037	1	1
ENSG00000107669	1	1	1	57.6523190535687	1	1
ENSG00000166669	1	1	1	1	156.032072579258	1
ENSG00000175224	1	31.8582440466235	1	1	1	1
ENSG00000101844	1	1	1	58.9759888533218	1	1
ENSG00000118322	1	34.4537924737464	74.6537050801464	73.2054349535928	1	1
ENSG00000145246	43.3836096990459	1	1	1	1	1
ENSG00000075673	1	146.662764584543	239.286483398975	597.070110840205	1	1
ENSG00000159363	1	1	60.1500143640974	51.1145294690393	1	1
ENSG00000127249	1	1	1	62.6958489161499	1	1
ENSG00000070961	70.270517308783	57.6234226359747	1	1	1	77.2742456536271
ENSG00000285390	229.772153807655	115.541940277256	1	1	1300.6909749147	1
ENSG00000130770	229.772153807655	115.541940277256	1	1	1300.6909749147	1
ENSG00000033627	1	41.272800961535	1	76.2517847167726	1	1
ENSG00000163635	1	45.8850561051493	1	1	1	1
ENSG00000087152	1	31.8623744176302	1	53.6562814800481	1	62.3166213658855
ENSG00000167601	51.3814838023409	1	1	1	1	1
ENSG00000149541	35.2924816806648	1	1	1	1	1
ENSG00000170340	1	37.6893884100598	1	1	1	1
ENSG00000179913	1	66.6367936983132	113.433323779365	136.633277435957	1	1
ENSG00000156966	1	74.8526588922154	68.4283668429547	1	153.255779836249	1
ENSG00000108641	1	1	1	1	212.297344398365	1
ENSG00000123810	1	1	1	1	179.996155677943	1
ENSG00000156735	28.4778751970805	1	1	56.8062424415074	1	1
ENSG00000006453	1	34.3109474293505	70.0207556176575	1	109.194519699943	1
ENSG00000163930	43.6984341899729	1	1	1	1	1
ENSG00000105327	1	68.9581842734584	132.316107296593	1	1	89.4323128213907
ENSG00000214413	1	1	1	1	141.27374472826	1
ENSG00000171159	1	40.1060452639581	1	61.3118191687464	1	1
ENSG00000119636	1	1	1	1	267.921831702889	1
ENSG00000187244	443.313195300811	1	1	1	1	1
ENSG00000105552	33.3885901902775	1	1	1	1	1
ENSG00000103507	39.3843766248474	1	1	1	1	44.9093897149452
ENSG00000140379	1	42.2561754536831	65.2548254193179	41.2886318105997	1	1
ENSG00000153094	1	34.7265563360936	1	61.0951256828818	1	1
ENSG00000069399	1	48.2779876743822	1	36.5452211704182	1	1
ENSG00000117475	36.6435466730764	1	1	63.5513191707784	1	76.0162016170689
ENSG00000168487	86.0238815775064	1	1	1	1	44.2442840063531
ENSG00000125845	50.9599558443453	1	1	1	1	1
ENSG00000101144	37.5591881848712	1	1	1	1	1
ENSG00000138696	1	62.4706623458266	1	1	42.6457962710489	1
ENSG00000169594	41.4014818955511	1	1	1	1	1
ENSG00000163141	1	1	1	196.305737704915	1	61.756878219391
ENSG00000172331	1	1	95.1223888882359	1	66.163726563801	76.5855985440212
ENSG00000131050	1	81.776365680552	1	1	1	1
ENSG00000125999	296.942180782785	12614.5117920779	1475.72573736582	101.84006647533	1696.31286608767	170.163361880443
ENSG00000162813	1	49.2332184341436	87.0191150238987	56.7256832855568	1	62.964980920525
ENSG00000096070	1	35.5924292650202	1	1	1	1
ENSG00000119411	1	121.437259234182	129.959792847348	158.102145655106	1	84.2427316520613
ENSG00000184887	1	27.2954924638173	1	61.2127638750087	1	79.2595657985371
ENSG00000186470	1	34.9955832619694	1	1	1	1
ENSG00000176029	1	1	1	1	128.571423512303	1
ENSG00000182919	1	28.9909524867539	1	49.8446697882217	1	1
ENSG00000175573	31.8914470769897	1	1	1	1	66.3914862746993
ENSG00000187479	1	91.8352218312256	1	97.0236329035021	1	1
ENSG00000257057	1	1	1	1	291.520334452132	1
ENSG00000133641	1	1	1	58.156728879565	1	60.5467415709213
ENSG00000235162	1	1	1	1	282.055875450617	1
ENSG00000166920	1	105.139999983446	596.831661276653	93.8363207965679	1	462.88836257407
ENSG00000154102	38.7659317108493	1	1	1	1	1
ENSG00000153446	1	49.7708099955224	1	1	1	1
ENSG00000152242	1	1	1	1	31.8264010366104	79.4281519307755
ENSG00000182326	78.4304970014459	1	1	1	1	1
ENSG00000124237	1	1	1	1	2468.24267112146	1
ENSG00000196476	1	1	1	1	136.061320134011	1
ENSG00000160298	1	1	1	1	237.778289811169	1
ENSG00000154642	40.6357958017048	1	70.1771263773892	1	31.556886597407	42.3162736385304
ENSG00000273579	1	1	1	1	247.794392384017	1
ENSG00000169314	1	1	1	1	247.794392384017	1
ENSG00000168887	1	1	1	45.0387652187833	29.1195811896427	1
ENSG00000154274	1	73.87960952475	215.874320237562	59.4936526823972	1	75.1399564740908
ENSG00000112539	1	1	1	1	188.44064146227	1
ENSG00000164746	1	1	1	1	116.236497209719	1
ENSG00000188959	1	42.3891913450984	69.0291350494845	1	1	1
ENSG00000164972	1	1	1	1	2807.17242607	1
ENSG00000074410	189.303681653506	1	1	1	1	101.629796833736
ENSG00000120159	1	32.4037521052968	74.5721852985864	49.6496502067314	1	1
ENSG00000102547	1	31.3501077180008	1	1	1	1
ENSG00000183346	1	1	1	1	180.109216743283	1
ENSG00000081803	1	31.9184941691247	1	1	1	1
ENSG00000148660	1	41.9538264811424	1	69.9132087945718	1	1
ENSG00000162545	167.375000150677	46.7527804031546	1	123.00151554935	1	248.473268389774
ENSG00000130559	1	1	1	70.7998842659542	81.6373283063883	84.4892213417237
ENSG00000162949	1	216.257948397803	1	1	1	1
ENSG00000149260	1	37.3526994792283	1	37.1429478695079	1	1
ENSG00000203697	1	31.635254620829	1	1	1	1
ENSG00000256812	1	1	1	83.7072977944457	1	73.4953642940386
ENSG00000105519	156.889172375558	75.539656064237	1	1	3620.82709761151	1
ENSG00000152611	1	1	1	1	596.746224670769	1
ENSG00000132357	1	28.1615084478213	1	68.7449298439752	1	1
ENSG00000153048	63.2529795120624	97.587192776793	98.8771123315743	1	125.712228942029	1
ENSG00000246228	1	41.8282335813742	69.5468360311467	1	1	1
ENSG00000137752	38.2444926301258	38.7226126516815	68.1722858166382	1	1	68.8473057567627
ENSG00000106144	1	1	1	41.1170511266562	1	1
ENSG00000164305	1	35.9777461033084	1	41.1035512499566	1	1
ENSG00000138794	1	25.8338820698254	68.8177133376947	1	1	1
ENSG00000165806	1	57.8107323443491	1	1	56.5676097843511	1
ENSG00000174898	1	1	1	1	188.216031418012	1
ENSG00000105974	920.999885690051	1	1	1	1	434.705483965573
ENSG00000177469	397.91563619467	1	1	1	1	277.943951805338
ENSG00000170955	90.2366649540314	1	1	1	52.6918183842225	1
ENSG00000114423	72.1287551007927	1	1	1	1	1
ENSG00000048342	1	1	1	1	209.941476275856	1
ENSG00000159884	1	51.2715816193668	50.8691623189455	1	61.9193208173805	1
ENSG00000103021	1	1	1	1	259.468855088845	1
ENSG00000135205	1	1	1	1	401.619127338019	1
ENSG00000248712	1	1	1	1	305.880040456482	1
ENSG00000159588	1	1	1	1	440.39612487312	1
ENSG00000120262	1	1	1	1	639.996172230962	1
ENSG00000117477	1	1	1	1	113.65197640957	1
ENSG00000185860	1	1	1	1	169.219039748156	1
ENSG00000151468	64.928450668633	1	1	1	1	1
ENSG00000186409	1	1	1	1	121.139085737152	1
ENSG00000288407	1	1	1	1	152.492775702861	1
ENSG00000140481	1	1	1	1	152.492775702861	1
ENSG00000109881	36.126328753677	1	1	1	259.212443974507	1
ENSG00000291505	1	1	1	1	126.825940102708	1
ENSG00000141519	1	1	1	1	126.825940102708	1
ENSG00000139537	1	1	1	1	152.42373859791	1
ENSG00000198624	1	68.3011752644896	59.6688515602986	1	119.967811889302	1
ENSG00000163040	1	1	1	1	299.956247347219	1
ENSG00000292118	1	1	1	1	119.762993694706	1
ENSG00000152076	1	1	1	1	119.762993694706	1
ENSG00000162004	1	1	1	1	587.5354595123	1
ENSG00000115355	46.6759906138105	1	1	1	1	1
ENSG00000115009	242.579919322034	626.566298579718	897.120105882683	299.903885700987	1	397.728118689913
ENSG00000151882	1	1	137.658875450222	1	43.3165004635527	1
ENSG00000291784	39.0982541629669	1	1	1	1	1
ENSG00000100814	39.0982541629669	1	1	1	1	1
ENSG00000118971	489.19223911106	67.0156474706774	1	39.5324771278375	1	206.877765559735
ENSG00000134480	1	1	1	1	1	41.630779019251
ENSG00000152669	1	105.688361085963	1	1	128.538232832475	1
ENSG00000103540	1	1	1	1	142.540725335293	1
ENSG00000260916	30.9644806066061	57.0738754261809	67.9303426094637	1	48.8458788165551	1
ENSG00000156535	193.602637078486	1	1	1	1	78.687016443066
ENSG00000174950	1	1	1	1	189.410531918714	1
ENSG00000103855	49.555938060888	53.0257923851744	86.8830365124645	1	1	59.3909377751795
ENSG00000135218	1	1	1	107.644844355635	1	1
ENSG00000129226	1	1	83.7403913324978	1	1	65.2332225563561
ENSG00000081377	1	47.1802282311787	1	1	49.7143445347454	1
ENSG00000099804	1	28.4783426279639	1	38.1287313664053	1	1
ENSG00000106993	43.1845056496322	1	1	1	1	1
ENSG00000170779	61.4421058843822	1	1	1	1	1
ENSG00000124215	1	52.2723958472986	1	115.319508002032	58.5956543476092	1
ENSG00000113361	81.8801477893131	1	1	1	1	1
