NAME	Basal	Club	Goblet	Hillock	Multiciliated_Deuterosomal	Suprabasal
ALOX15	39.2303006599044	176.27965898133	1	1	599.050813248762	1
ALOX15B	43.4576065129183	1	1	1	1	1
ALPL	1	1	137.264987066849	92.0306685899669	1	1
ALS2CL	1	1	1	53.1246510196992	43.8142890075717	1
AMIGO2	68.6585427116688	1	1	1	1	1
AMMECR1	38.9694796653206	1	1	44.8097905074399	1	65.397837380108
AMOTL1	64.7834715667174	1	1	1	1	1
ANAPC7	28.2931517532956	1	1	1	36.1672691872782	54.1816446679517
ANKH	67.4625700987467	1	1	1	1	1
ANKRD10	1	34.7217828513119	1	1	1	1
ANKRD22	1	1	1	127.042016945315	1	65.0002169922033
ANKRD35	1	1	1	105.192103457156	1	1
ANKRD36C	1	71.8367213474962	1	1	69.8084039558725	1
ANKRD40	26.6555450518976	39.6751892524659	1	1	1	1
ANKRD66	1	1	1	1	181.957170223281	1
ANKUB1	1	1	1	1	183.688139807302	1
ANO10	1	1	1	43.3559059120301	1	1
ANO6	1	1	1	1	1	69.3128383592906
ANO8	1	1	1	64.8518661763158	1	1
ANOS1	53.2839837130625	1	1	1	1	1
ANTXR1	1	44.8633311488438	1	1	1	1
ANXA10	53.148904425505	1	1	1	1	1
ANXA8	48.7106691167642	1	1	1	1	1
ANXA9	1	1	1	91.1917078882595	1	1
AP1AR	1	35.7542851293288	1	1	1	68.3984345721203
AP3M1	37.912982634002	1	1	45.4802851431036	1	61.2117022417741
AP5B1	1	1	58.8417202661374	59.5372103534991	1	83.9097226713727
AP5S1	1	28.974393401972	1	1	1	1
APEX2	39.2049157356163	1	1	57.0215380058923	1	57.8077230436845
APOBEC3A	1	1	1	226.3552947676	1	1
APOO	1	44.9233026196293	92.1005706451437	50.852918218938	126.272812149939	1
APOOL	1	37.0202676833548	78.0948915940158	45.701977863534	1	74.5719994767562
APTX	36.2198440148642	1	1	1	38.9951620286546	50.6423218347862
AQP5	1	363.728634987208	811.328926839363	657.373864817022	1	68.5740687529898
ARAP2	1	1	1	57.4554263192524	1	1
ARFGAP2	1	1	1	36.2656714642162	1	1
ARFGEF3	1	68.4141356154039	1	1	122.54014189454	1
ARHGAP12	1	48.6320138457081	47.0009701676195	1	1	1
ARHGAP18	1	42.8991556519851	76.3908001389478	1	264.550331842598	1
ARHGDIB	1	80.6233844966498	1	60.7160504773991	1	1
ARHGEF1	43.8936096831227	1	1	1	1	1
ARHGEF10L	1	28.4815113037027	1	63.3098748141615	1	1
ARHGEF37	1	1	58.8059776696657	42.746971213301	30.5713049568231	1
ARHGEF7	1	1	69.4067656804961	1	1	1
ARMC3	1	1	1	1	283.749267197533	1
ARNTL2	71.2005684833428	1	91.1051933692041	49.5173265051015	1	71.5491737630878
ARRB2	1	49.4389071618987	1	1	1	1
ARRDC4	1	1	104.126753228177	159.252280687291	1	88.2553816327014
ASAP1	39.6425259188376	1	1	1	1	1
ASAP2	44.9246916300487	32.7051989325456	1	1	1	60.4540511390973
ASCC1	1	31.5991690414172	1	1	1	1
ASPG	1	1	1	66.9148710365037	1	1
ATE1	1	1	1	57.6523190535687	1	1
ATF7IP2	1	1	1	1	156.032072579258	1
ATG13	1	31.8582440466235	1	1	1	1
ATG4A	1	1	1	58.9759888533218	1	1
ATP10B	1	34.4537924737464	74.6537050801464	73.2054349535928	1	1
ATP10D	43.3836096990459	1	1	1	1	1
ATP12A	1	146.662764584543	239.286483398975	597.070110840205	1	1
ATP13A2	1	1	60.1500143640974	51.1145294690393	1	1
ATP13A4	1	1	1	62.6958489161499	1	1
